Label,Precision,Recall,F1-Score
OVERALL,0.5908602150537635,0.5772727272727273,0.5491694630872482
ham,0.8709677419354839,0.8181818181818182,0.84375
smishing,0.45,0.16363636363636364,0.24
spam,0.45161290322580644,0.75,0.5637583892617449
