Label,Precision,Recall,F1-Score
OVERALL,0.6580287929125138,0.5994949494949494,0.6023261394144358
ham,0.7857142857142857,0.6666666666666666,0.7213114754098361
smishing,0.7,0.38181818181818183,0.49411764705882355
spam,0.4883720930232558,0.75,0.5915492957746479
